"Item type","Authors","Title","Journal","Publication year","Volume","Issue","Pages","Edition","Publisher","Address","Proceedings title","Conference location","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Sub-type","Series"
"Journal Article","Guo R,Xu L,Li X,Zhang Y,Li X","An Efficient Certificateless Ring Signcryption Scheme With Conditional Privacy-Preserving in VANETs","J. Syst. Archit.","2022","129","C","","","Elsevier North-Holland, Inc.","USA","","","2022-08","","1383-7621","https://doi-org.proxy.findit.cvt.dk/10.1016/j.sysarc.2022.102633;http://dx.doi.org/10.1016/j.sysarc.2022.102633","10.1016/j.sysarc.2022.102633","","Certificateless ring signcryption, Conditional privacy preservation, Vehicular ad hoc networks (VANETs), Batch verification","","",""
"Journal Article","Ye X,Xu G,Cheng X,Li Y,Qin Z,Duan Z","Certificateless-Based Anonymous Authentication and Aggregate Signature Scheme for Vehicular Ad Hoc Networks","Wirel. Commun. Mob. Comput.","2021","2021","","","","John Wiley and Sons Ltd.","GBR","","","2021-01","","1530-8669","https://doi-org.proxy.findit.cvt.dk/10.1155/2021/6677137;http://dx.doi.org/10.1155/2021/6677137","10.1155/2021/6677137","Development of Internet of Vehicles (IoV) has aroused extensive attention in recent years. The IoV requires an efficient communication mode when the application scenarios are complicated. To reduce the verifying time and cut the length of signature, certificateless aggregate signature (CL-AS) is used to achieve improved performance in resource-constrained environments like vehicular ad hoc networks (VANETs), which is able to make it effective in environments constrained by bandwidth and storage. However, in the real application scenarios, messages should be kept untamed, unleashed, and authentic. In addition, most of the proposed schemes tend to be easy to attack by signers or malicious entities which can be called coalition attack. In this paper, we present an improved certificateless-based authentication and aggregate signature scheme, which can properly solve the coalition attack. Moreover, the proposed scheme not only uses pseudonyms in communications to prevent vehicles from revealing their identity but also achieves considerable efficiency compared with state-of-the-art work, certificateless signature (CLS), and CL-AS schemes. Furthermore, it demonstrates that when focused on the existential forgery on adaptive chosen message attack and coalition attack, the proposed schemes can be proved secure. Also, we show that our scheme exceeds existing certification schemes in both computing and communication costs.","","","",""
"Journal Article","Tesei A,Lattuca D,Luise M,Pagano P,Ferreira J,Bartolomeu PC","A Transparent Distributed Ledger-Based Certificate Revocation Scheme for VANETs","J. Netw. Comput. Appl.","2023","212","C","","","Academic Press Ltd.","GBR","","","2023-03","","1084-8045","https://doi-org.proxy.findit.cvt.dk/10.1016/j.jnca.2022.103569;http://dx.doi.org/10.1016/j.jnca.2022.103569","10.1016/j.jnca.2022.103569","","Vehicular Ad-hoc Networks, Privacy, Distributed Ledger Technology, Intelligent Transportation Systems, Certificate revocation scheme, Vehicular Public Key Infrastructure, Transparency","","",""
"Journal Article","Zhao J,Zheng Y,Huang H,Wang J,Zhang X,He D","Lightweight Certificateless Privacy-Preserving Integrity Verification with Conditional Anonymity for Cloud-Assisted Medical Cyber–physical Systems","J. Syst. Archit.","2023","138","C","","","Elsevier North-Holland, Inc.","USA","","","2023-05","","1383-7621","https://doi-org.proxy.findit.cvt.dk/10.1016/j.sysarc.2023.102860;http://dx.doi.org/10.1016/j.sysarc.2023.102860","10.1016/j.sysarc.2023.102860","","Compensation mechanism, Conditional anonymity, Data integrity auditing, Medical cyber–physical systems, Cloud computing","","",""
"Journal Article","Daniel RM,Rajsingh EB,Silas S","An Efficient ECK Secure Certificateless Authenticated Key Agreement Scheme with Security against Public Key Replacement Attacks","J. Inf. Secur. Appl.","2019","47","C","156–172","","Elsevier Science Inc.","USA","","","2019-08","","2214-2126","https://doi-org.proxy.findit.cvt.dk/10.1016/j.jisa.2019.05.003;http://dx.doi.org/10.1016/j.jisa.2019.05.003","10.1016/j.jisa.2019.05.003","","Man-in-the-middle attack, Denial of session key establishment attack, Trust level 3","","",""
"Conference Paper","Drury V,Meyer U","Certified Phishing: Taking a Look at Public Key Certificates of Phishing Websites","","2019","","","211–223","","USENIX Association","USA","Proceedings of the Fifteenth USENIX Conference on Usable Privacy and Security","Santa Clara, CA, USA","2019","9781939133052","","","","The share of phishing websites using HTTPS has been constantly increasing over the last years. As a consequence, the simple user advice to check whether a website is HTTPSprotected is no longer effective against phishing. At the same time, the use of certificates in the context of phishing raises the question if the information contained in them could be used to detect phishing websites. In this paper we take a first step towards answering this question. To this end, we analyze almost 10 000 valid certificates queried from phishing websites and compare them to almost 40 000 certificates collected from benign sites. Our analysis shows that it is generally impossible to differentiate between benign sites and phishing sites based on the content of their certificates alone. However, we present empirical evidence that current phishing websites for popular targets do typically not replicate the issuer and subject information.","","","","SOUPS'19"
"Journal Article","Tanwar S,Kumar A","A Proposed Scheme for Remedy of Man-In-The-Middle Attack on Certificate Authority","Int. J. Inf. Sec. Priv.","2017","11","3","1–14","","IGI Global","USA","","","2017-07","","1930-1650","","","PKI offers authentication via digital certificates, which are signed and provided by Certificate Authority CA. A certificate can be signed by single CA or multiple CAs. A document signed by multiple CAs has less probability to be forged as compared to signed by a single CA. CA is a single point of failure, if CA issue forged certificate intentionally or maliciously the whole PKI system effected. Still PKI ensures a secure method for exchanging sensitive information over unsecured channels through the use of cryptographic public private key pair, issued by Certification Authority CA but even an honest CA can issue forged certificate. Now in India everything is digitalized to enable e-Governance. For that a unique identity, aadhar number issued by Unique Identification Authority of India UIDAI is most widely used. For avoiding fraudulent certificates, strong authentication and attacks on CAs, the authors proposed an algorithm that use multiple signature on certificate based on aadhar number offered by UIDAI for online entity authentication-verification before issuing the certificate. If any of the CA is compromised whether its database or key will not be able to issue certificate to any server as authentication fails and multiple signatures are required. Proposed concept is more secure than the existing in terms of authentication, security and time.","Certificate Authority CA, Multiple Signature, Aadhar Number, MITM, Root CA","","",""
"Journal Article","Wang Z,Wang H,Wang Y,Yang X,De Domenico A","CLASRM: A Lightweight and Secure Certificateless Aggregate Signature Scheme with Revocation Mechanism for 5G-Enabled Vehicular Networks","Wirel. Commun. Mob. Comput.","2022","2022","","","","John Wiley and Sons Ltd.","GBR","","","2022-01","","1530-8669","https://doi-org.proxy.findit.cvt.dk/10.1155/2022/3646960;http://dx.doi.org/10.1155/2022/3646960","10.1155/2022/3646960","The rapid deployment of 5G technology has further strengthened the large-scale interconnection between sensing devices and systems and promoted the rapid development of smart cities and intelligent transportation systems. 5G-enabled vehicular networks take advantage of cellular vehicle-to-everything (C-V2X) technology to achieve the connection between moving vehicles, between vehicles and infrastructure, and between vehicles and the cloud, which can reduce the possibility of traffic jams and accidents, improve transportation efficiency, and realize automatic driving. Besides, 5G-enabled vehicular networks also provide infotainment services and industry application services. High-strength data transmission, however, will bring a serious burden of resource overhead, and there are hidden dangers of security and privacy in the communication process of vehicular networks. Some current vehicular network authentication schemes adopt public key infrastructure-based (PKI-based) and identity-based authentication methods to achieve conditional privacy preservation. Still, these schemes are too expensive and cannot address the problems of costly certificate management or risky key escrow. Some schemes use computationally complex bilinear pairing operations that result in low efficiency and do not consider the revocation of malicious nodes so that they cannot effectively prevent further malicious attacks. This paper proposes a lightweight certificateless aggregate signature (CLAS) scheme with a revocation mechanism suitable for 5G-enabled vehicular networks in response to the above problems. Our proposed scheme uses aggregation signature technology to aggregate multiple signatures into a single short signature, thus reducing communication overhead and storage overhead of road side units (RSUs). Furthermore, our proposed scheme utilizes the elliptic curve cryptography (ECC) to reduce verification time and computational overhead. Moreover, in order to prevent malicious users from sending invalid signatures to attack, our proposed scheme uses binary search to identify invalid signatures and introduces a cuckoo filter to revoke malicious users to prevent reattack. Finally, formal proof and experimental analysis show that our proposed scheme has greater advantages with respect to security and efficiency compared with the previous schemes.","","","",""
"Book","Kay T","Mike Meyers’ Security+ Certification Passport","","2003","","","","1","McGraw-Hill, Inc.","USA","","","2003","9780072227413","","","","Mike Meyers, the industry expert on professional certification, brings you this concise, affordable, and portable study tool for the CompTIA Security+ certification exam. With an intensive focus on only what you need to know to pass this challenging exam plus a free practice test available at www.examweb.com, this book is your ticket to success on exam day. Table of contents Part I: General Security Concepts 1: Access Control and Authentication 2: Attacks, Malicious Code, and Social Engineering Part II: Communication Security 3: Remote Access 4: Web Security 5: Wireless Security Part III: Infrastructure Security 6: Devices and Media Security 7: Security Topologies and Intrusion Detection 8: Understanding Security Baselines Part IV: Basics of Cryptography 9: Understanding Algorithms 10: Key Management/ Certificate Lifecycle Part V: Operational/ Organizational Security 11: Physical Security Issues 12: Disaster Recovery and Business Continuity 13: Policy Procedures and Privilege Management 14: Forensics, Risk Management, Education, and Documentation A: About the CD-ROM B: Career Flight Path","","","",""
"Book","Harris S,Kowtko J","Security+ Certification All-in-One Exam Guide","","2003","","","","1","McGraw-Hill, Inc.","USA","","","2003","9780072226331","","","","All-in-One is all you need! This authoritative reference offers complete coverage of all material on the Security+ certification exam. You'll find exam objectives at the beginning of each chapter, helpful exam tips, end-of-chapter practice questions, and photographs and illustrations. The bonus CD-ROM contains a testing engine with questions found only on the CD. This comprehensive guide not only helps you pass this challenging exam, but will also serve as an invaluable on-the-job reference. Table of contents Part I: Authentication 1: General Security Concepts Part II: Malware and Attacks 2: Types of Attacks and Malicious Software Part III: Security in Transmissions 3: Remote Access 4: E-Mail 5: Web Components 6: Wireless and Instant Messaging Part VI: Security for the Infrastructure 7: Infrastructure Security 8: Intrusion Detection Systems 9: Security Baselines Part V: Cryptography and Applications 10: Cryptography 11: Public Key Infrastructure 12: Standards and Protocols Part VI: Operational Security 13: Operational/Organizational Security 14: Disaster Recovery, Business Continuity, and Organizational Policies Part VII: Administrative Controls 15: Security and Law 16: Privilege Management 17: Computer Forensics 18: Risk Management 19: Change Management Part VIII: Appendixes A: About the CD-ROM B: OSI Model and Internet Protocols","","","",""
