,Title,Authors,Source title,Year,DOI,Abstract
0,analysis of dns graph of phishing websites using digital certificates,Y. Ishida; M. Hanada; A. Waseda; M. W. Kim,2023 25th International Conference on Advanced Communication Technology (ICACT),2023,10.23919/ICACT56868.2023.10079566,"The prevalence of phishing threats has grown substantially over the past several years. Because phishing domains generally have a very short lifetime to avoid detection, they must be identified as soon as possible to prevent damage. In general, phishers frequently reassign resources, such as domain names and IP addresses, to avoid detection. Consequently, multiple domains may be hosted by the same IP address, or vice versa. Furthermore, phishing websites often employ certificates and HTTPS encryption to appear more trustworthy. In this study, we focused on HTTPS-enabled phishing websites to construct and analyze DNS graphs of domain names and IP addresses of phishing websites using Certificate Transparency (CT) logs. From the analysis results, we examined the differences between benign and phishing websites in terms of the number of nodes per component and average node degree."
1,discovering httpsified phishing websites using the tls certificates footprints,Y. Sakurai; T. Watanabe; T. Okuda; M. Akiyama; T. Mori,2020 IEEE European Symposium on Security and Privacy Workshops (EuroS&PW),2020,10.1109/EuroSPW51379.2020.00077,"With the recent rise of HTTPS adoption on the Web, attackers have begun ""HTTPSifying"" phishing websites. HTTPSifying a phishing website has the advantage of making the website appear legitimate and evading conventional detection methods that leverage URLs or web contents in the network. Further, adopting HTTPS could also contribute to generating intrinsic footprints and provide defenders with a great opportunity to monitor and detect websites, including phishing sites, as they would need to obtain a public-key certificate issued for the preparation of the websites. The potential benefits of certificate-based detection include: (1) the comprehensive monitoring of all HTTPSified websites by using certificates immediately after their issuance, even if the attacker utilizes dynamic DNS (DDNS) or hosting services; this could be overlooked with the conventional domain-registration-based approaches; and (2) to detect phishing websites before they are published on the Internet. Accordingly, we address the following research question: How can we make use of the footprints of TLS certificates to defend against phishing attacks? For this, we collected a large set of TLS certificates corresponding to phishing websites from Certificate Transparency (CT) logs and extensively analyzed these TLS certificates. We demonstrated that a template of common names, which are equivalent to the fully qualified domain names, obtained through the clustering analysis of the certificates can be used for the following promising applications: (1) The discovery of previously unknown phishing websites with low false positives and (2) understanding the infrastructure used to generate the phishing websites. We use our findings on the abuse of free certificate authorities (CAs) for operating HTTPSified phishing websites to discuss possible solutions against such abuse and provide a recommendation to the CAs."
2,beyond the lock icon: real-time detection of phishing websites using public key certificates,Z. Dong; A. Kapadia; J. Blythe; L. J. Camp,2015 APWG Symposium on Electronic Crime Research (eCrime),2015,10.1109/ECRIME.2015.7120795,"We propose a machine-learning approach to detect phishing websites using features from their X.509 public key certificates. We show that its efficacy extends beyond HTTPS-enabled sites. Our solution enables immediate local identification of phishing sites. As such, this serves as an important complement to the existing server-based anti-phishing mechanisms which predominately use blacklists. Blacklisting suffers from several inherent drawbacks in terms of correctness, timeliness, and completeness. Due to the potentially significant lag prior to site blacklisting, there is a window of opportunity for attackers. Other local client-side phishing detection approaches also exist, but primarily rely on page content or URLs, which are arguably easier to manipulate by attackers. We illustrate that our certificate-based approach greatly increases the difficulty of masquerading undetected for phishers, with single millisecond delays for users. We further show that this approach works not only against HTTPS-enabled phishing attacks, but also detects HTTP phishing attacks with port 443 enabled."
3,android malware detection scheme based on level of ssl server certificate,H. Kato; S. Haruta; I. Sasase,2019 IEEE Global Communications Conference (GLOBECOM),2019,10.1109/GLOBECOM38437.2019.9013483,"Detecting Android malware is imperative. As a promising Android malware detection scheme, we focus on the scheme leveraging the differences of traffic patterns between benign apps and malware. Those differences can be captured even if the packet is encrypted. However, since such features are just statistic based ones, they cannot identify whether each traffic is malicious. Thus, it is necessary to design the scheme which is applicable to encrypted traffic data and supports identification of malicious traffic. In this paper, we propose an Android malware detection scheme based on the level of SSL server certificate. Attackers tend to use an untrusted certificate to encrypt malicious payloads in many cases because passing rigorous examination is required to get a trusted certificate. Thus, we utilize SSL server certificate based features for detection since their certificates tend to be untrusted. Furthermore, in order to obtain the more exact features, we introduce required permission based weight values because malware inevitably require permissions regarding malicious actions. By computer simulation with real dataset, we show our scheme achieves an accuracy of 92.7 %. True positive rate and false positive rate are 5.6% higher and 3.3% lower than the previous scheme, respectively. Our scheme can cope with encrypted malicious payloads and 89 malware which are not detected by the previous scheme."
4,detecting ambiguous phishing certificates using machine learning,S. Homayoun; K. Hageman; S. Afzal-Houshmand; C. D. Jensen; J. M. Pedersen,2022 International Conference on Information Networking (ICOIN),2022,10.1109/ICOIN53446.2022.9687264,"Recent phishing attacks have started to migrate to HTTP over TLS (HTTPS), making a phishing web page appear safe to the user’s browser despite its malicious purpose. This paper benefits from both digital certificates and domains related data features to propose machine learning-based solutions to predict digital certificates involved in HTTPS as phishing or benign certificates. In contrast to previous works that consider this a binary classification problem, we take into account that a certificate can be partially benign and phishy simultaneously. We propose a multi-class classifier and a regressor to classify these ambiguous certificates, in addition to benign and phishing certificates, where the ‘phishyness’ of a certificate is expressed as a value between 0 and 1 for the regressor. We apply our method to a set of certificates obtained from certificate transparency logs and show that we can classify them with high performance. We extend our validation by evaluating the performance of the model over time, showing that our model generalizes over time on our training data set."
5,a secure and efficient certificateless authentication scheme with unsupervised anomaly detection in vanets,H. Tan; Z. Gui; I. Chung,IEEE Access,2018,10.1109/ACCESS.2018.2883426,"As the crucial component of intelligent transportation system, vehicular ad hoc networks (VANETs) are capable of providing a variety of safety-related functionalities and commercial-oriented applications, which significantly improves the driving experience. Due to the foreseen impact of VANETs, extensive studies in both academia and industry fields has been made, which emphasizes on effective VANETs implementations. In practical VANETs scenarios with open wireless communication characteristics, enhanced security strategies should be deployed in order to guarantee transmission safety. Moreover, individual vehicle needs to perform pre-defined authentication process toward all the acquired messages, some of which may be generated by abnormal devices or malicious attackers. In this case, with large amounts of anomaly messages to be authenticated during a relatively short time period, the denial of service (DoS) attack is possible. Note that the vehicle has limited computation capability and restrained storage. In this paper, we address the above issues by developing a secure and efficient authentication scheme with unsupervised anomaly detection. In our design, certificateless authentication technique is deployed for conditional privacy preserving, along with the Chinese remainder theorem for efficient group key distribution and dynamic updating. Subsequently, the corresponding unsupervised anomaly detection method is illustrated, which applies dynamic time warping for distance measurement. The proposed method could remarkably alleviate unnecessary authentication burden in vehicle side. DoS attack can also be prevented in this way. Furthermore, anomaly detection method is conducted by the involving road side units (RSUs), while the contents of the processing traffic flows are kept secret to RSUs during the entire process. Security analysis shows that our scheme can achieve desired security properties. Additionally, performance analysis demonstrates that our design is efficient compared with state-of-the-art."
6,semi-ct: certificates transparent to identity owners but opaque to snoopers,A. Sun; B. Li; Q. Wang; H. Wan; J. Lin; W. Wang,2023 IEEE Symposium on Computers and Communications (ISCC),2023,10.1109/ISCC58397.2023.10217862,"Certificate Transparency (CT) enables timely detection of problematic certification authorities (CAs) by publicly recording all CA-issued certificates. This transparency inevitably leaks the privacy of identity owners (IdOs) through the identity information bound in certificates. In response to the privacy leakage, several privacy-preserving schemes have been proposed that transform/hash/encrypt the privacy-carrying part in certificates. However, these certificates conceal identity while also making it opaque to the IdO, which defeats the purpose of CT. To address the contradiction between transparency and privacy, we propose Semi-CT, a semi-transparency mechanism that makes the certificates transparent to IdOs but opaque to snoopers. Inspired by public-key encryption with keyword search (PEKS), Semi-CT based on bilinear pairing enables trapdoor-holding IdOs to retrieve certificates associated with their identity. Semi-CT also addresses protocol deviation detection and trapdoor protection in the malicious model. Finally, through theoretical and experimental analysis, we prove the security and feasibility of Semi-CT for practical applications."
7,certificate-based enterprise privacy analysis and anomaly discovery,L. Yin; Z. Duo; H. Yu; X. Zhao,"2022 IEEE Smartworld, Ubiquitous Intelligence & Computing, Scalable Computing & Communications, Digital Twin, Privacy Computing, Metaverse, Autonomous & Trusted Vehicles (SmartWorld/UIC/ScalCom/DigitalTwin/PriComp/Meta)",2022,10.1109/SmartWorld-UIC-ATC-ScalCom-DigitalTwin-PriComp-Metaverse56740.2022.00330,"With the development of globalization, business collaboration and exchanges between companies become increasingly frequent. Data communication between two or more parties using certificate authentication is a frequently employed security assurance approach that creates a substantial quantity of certificate data traffic. In the process of utilizing conventional certificates, it is possible to leak sensitive information of the corporation. For example, certificate data traffic in the smart grid may expose important nodes and current security management level of a certain grid-related network. Therefore, a solution is required to evaluate the data of the grid-related network at the certificate level in a secure and efficient manner. This study provides a certificate-based enterprise privacy analysis and anomaly detection scheme. Using SSL/TLS and X.509 as standards, the scheme extracts valid certificate information by collecting certificate data traffic between enterprise networks and analyzing the certificate data. The scheme monitors and analyzes the flow of certificate data for the grid network, identifies suspicious anomalous behaviors and invalid certificates, and warns of risky behavior. By monitoring certificate data flow, it is feasible to improve the enterprise authentication framework and business communication method, prevent the leaking of enterprise privacy data."
8,blockchain-based collaborative certificate revocation systems using clustering,A. Didouh; H. Labiod; Y. E. Hillali; A. Rivenq,IEEE Access,2022,10.1109/ACCESS.2022.3160171,"Despite the decisive contribution of intelligent transport systems in road safety, they also open new vulnerabilities to cyber-attacks, particularly vehicle position-linked attacks. For that reason, centralized systems are becoming increasingly vulnerable to the growth of the connected-vehicle fleets as it becomes more challenging to revoke certificates in real-time. We have proposed a new method that integrates a decentralized, collaborative system to meet these challenges. This method efficiently allows Blockchain integration for vehicular network’s cyber security by dynamically creating communities to revoke malicious vehicles in real-time. This article presents analytical models of the system of real-time revoking certificates and examines our solution’s impact on two important types of attacks in V2X communications, Sybil and the faking position attacks. Our experiments using real V2X hardware demonstrated the feasibility and benefits of real-time revocation via vehicle communities. The results were obtained from consensus implementation in a vehicular network comprising three communicating vehicles and a single roadside unit. In parallel, simulations showed feasibility in large-scale communications. As a result, the exposure and detection times of our solution meet real-time requirements."
9,certificate-aware encrypted traffic classification using second-order markov chain,Meng Shen; Mingwei Wei; Liehuang Zhu; Mingzhong Wang; Fuliang Li,2016 IEEE/ACM 24th International Symposium on Quality of Service (IWQoS),2016,10.1109/IWQoS.2016.7590451,"With the prosperity of network applications, traffic classification serves as a crucial role in network management and malicious attack detection. The widely used encryption transmission protocols, such as the Secure Socket Layer/Transport Layer Security (SSL/TLS) protocols, leads to the failure of traditional payload-based classification methods. Existing methods for encrypted traffic classification suffer from low accuracy. In this paper, we propose a certificate-aware encrypted traffic classification method based on the Second-Order Markov Chain. We start by exploring reasons why existing methods not perform well, and make a novel observation that certificate packet length in SSL/TLS sessions contributes to application discrimination. To increase the diversity of application fingerprints, we develop a new model by incorporating the certificate packet length clustering into the Second-Order homogeneous Markov chains. Extensive evaluation results show that the proposed method lead to a 30% improvement on average compared with the state-of-the-art method, in terms of classification accuracy."
